id,technology,published,updated,title,summary,authors
http://arxiv.org/abs/2202.08118v1,Smart contracts,2022-02-16T14:53:18Z,2022-02-16T14:53:18Z,"Smart Cities, Smart Libraries and Smart Knowledge Managers: Ushering in
  the neo-Knowledge Society","  The emergence of smart cities as a specific concept is not very old. In
simple terms, it refers to cities which are sustainable and driven
predominantly by their Information and Communication Technology (ICT)
infrastructure. Smart libraries and smart knowledge managers, alongside its
other smart component-entities, are vital for their emergence, sustenance and
progress. The paper attempts at deducing a symbiosis amongst smart cities,
smart libraries and smart knowledge managers. It further elaborates on how
these will usher in the neo-knowledge society, and the opportunities it'll
offer vis-\`a-vis Library and Information Science (LIS). Finally, it concludes
on an optimistic note, mentioning possible future research activities in this
regard.
",['Mayukh Bagchi']
http://arxiv.org/abs/2309.12344v1,Smart contracts,2023-08-25T19:23:33Z,2023-08-25T19:23:33Z,"Exploring IoT in Smart Cities: Practices, Challenges and Way Forward","  The rise of Internet of things (IoT) technology has revolutionized urban
living, offering immense potential for smart cities in which smart home, smart
infrastructure, and smart industry are essential aspects that contribute to the
development of intelligent urban ecosystems. The integration of smart home
technology raises concerns regarding data privacy and security, while smart
infrastructure implementation demands robust networking and interoperability
solutions. Simultaneously, deploying IoT in industrial settings faces
challenges related to scalability, standardization, and data management. This
research paper offers a systematic literature review of published research in
the field of IoT in smart cities including 55 relevant primary studies that
have been published in reputable journals and conferences. This extensive
literature review explores and evaluates various aspects of smart home, smart
infrastructure, and smart industry and the challenges like security and
privacy, smart sensors, interoperability and standardization. We provide a
unified perspective, as we seek to enhance the efficiency and effectiveness of
smart cities while overcoming security concerns. It then explores their
potential for collective integration and impact on the development of smart
cities. Furthermore, this study addresses the challenges associated with each
component individually and explores their combined impact on enhancing urban
efficiency and sustainability. Through a comprehensive analysis of security
concerns, this research successfully integrates these IoT components in a
unified approach, presenting a holistic framework for building smart cities of
the future. Integrating smart home, smart infrastructure, and smart industry,
this research highlights the significance of an integrated approach in
developing smart cities.
","['Kashif Ishaq', 'Syed Shah Farooq']"
http://arxiv.org/abs/1807.08165v1,Smart contracts,2018-07-21T14:57:49Z,2018-07-21T14:57:49Z,"On Computational Infraestruture Requirements to Smart and Autonomic
  Cities Framework","  Smart cities are an actual trend being pursued by research that,
fundamentally, tries to improve city's management on behalf of a better human
quality of live. This paper proposes a new autonomic complementary approach for
smart cities management. It is argued that smart city management systems with
autonomic characteristics will improve and facilitate management
functionalities in general. A framework is also presented as use case
considering specific application scenarios like smart-health, smart-grid,
smart-environment and smart-streets.
","['Romildo Bezerra', 'Flavia Nascimento', 'Joberto Martins']"
http://arxiv.org/abs/1804.01242v1,Smart contracts,2018-04-04T05:27:09Z,2018-04-04T05:27:09Z,A Smart Home Gateway Platform for Data Collection and Awareness,"  Smart homes have attracted much attention due to the expanding of
Internet-of-Things (IoT) and smart devices. In this paper, we propose a smart
gateway platform for data collection and awareness in smart home networks. A
smart gateway will replace the traditional network gateway to connect the home
network and the Internet. A smart home network supports different types of
smart devices, such as in home IoT devices, smart phones, smart electric
appliances, etc. A traditional network gateway is not capable of providing
quality-of-service measurement, user behavioral analytics, or network
optimization. Such tasks are traditionally performed with measurement agents
such as optical splitters or network probes deployed in the core network. Our
proposed platform is a lightweight plug-in for the smart gateway to accomplish
data collection, awareness and reporting. While the smart gateway is able to
adjust the control policy for data collection and awareness locally, a
cloud-based controller is also included for more refined control policy
updates. Furthermore, we propose a multi-dimensional awareness framework to
achieve accurate data awareness at the smart gateway. The efficiency of data
collection and accuracy of data awareness of the proposed platform is
demonstrated based on the tests using actual data traffic from a large number
of smart home users.
","['Pan Wang', 'Feng Ye', 'Xuejiao Chen']"
http://arxiv.org/abs/2209.10300v1,Smart contracts,2022-09-21T12:14:46Z,2022-09-21T12:14:46Z,5G-Enabled Smart Manufacturing -- A booklet by 5G-SMART,"  In this booklet the most important learnings and key results of 5G-SMART in
the area of smart manufacturing are summarized.
","['Leefke Grosjean', 'Krister Landernäs', 'Berna Sayrac', 'Ognjen Dobrijevic', 'Niels König', 'Davit Harutyunyan', 'Dhruvin Patel', 'Jose F. Monserrat', 'Joachim Sachs']"
http://arxiv.org/abs/2109.05581v1,Smart contracts,2021-09-12T18:33:24Z,2021-09-12T18:33:24Z,Data Analytics for Smart cities: Challenges and Promises,"  The explosion of advancements in artificial intelligence, sensor
technologies, and wireless communication activates ubiquitous sensing through
distributed sensors. These sensors are various domains of networks that lead us
to smart systems in healthcare, transportation, environment, and other relevant
branches/networks. Having collaborative interaction among the smart systems
connects end-user devices to each other which enables achieving a new
integrated entity called Smart Cities. The goal of this study is to provide a
comprehensive survey of data analytics in smart cities. In this paper, we aim
to focus on one of the smart cities important branches, namely Smart Mobility,
and its positive ample impact on the smart cities decision-making process.
Intelligent decision-making systems in smart mobility offer many advantages
such as saving energy, relaying city traffic, and more importantly, reducing
air pollution by offering real-time useful information and imperative
knowledge. Making a decision in smart cities in time is challenging due to
various and high dimensional factors and parameters, which are not frequently
collected. In this paper, we first address current challenges in smart cities
and provide an overview of potential solutions to these challenges. Then, we
offer a framework of these solutions, called universal smart cities decision
making, with three main sections of data capturing, data analysis, and decision
making to optimize the smart mobility within smart cities. With this framework,
we elaborate on fundamental concepts of big data, machine learning, and deep
leaning algorithms that have been applied to smart cities and discuss the role
of these algorithms in decision making for smart mobility in smart cities.
","['Farid Ghareh Mohammadi', 'Farzan Shenavarmasouleh', 'M. Hadi Amini', 'Hamid R. Arabnia']"
http://arxiv.org/abs/1711.09184v1,Smart contracts,2017-11-25T04:06:24Z,2017-11-25T04:06:24Z,A Formal Specification Framework for Smart Grid Components,"  Smart grid can be considered as the next step in the evolution of power
systems. It comprises of different entities and objects ranging from smart
appliances, smart meters, generators, smart storages, and more. One key problem
in modeling smart grid is that while currently there is a considerable focus on
the practical aspects of smart grid, there are very few modeling attempts and
even lesser attempts at formalization. To the best of our knowledge, among
other formal methods, formal specification has previously not been applied in
the domain of smart grid. In this paper, we attempt to bridge this gap by
presenting a novel approach to modeling smart grid components using a formal
specification approach. We use a state-based formal specification language
namely Z (pronounced as `Zed') since we believe Z is particularly suited for
modeling smart grid components.We demonstrate the application of Z on key smart
grid components. The presented formal specification can be considered as first
steps towards modeling of smart grid using a Software Engineering formalism. It
also demonstrates how complex systems, such as the smart grid, can be modeled
elegantly using formal specification.
","['Waseem Akram', 'Muaz A. Niazi']"
http://arxiv.org/abs/1909.02914v1,Smart contracts,2019-09-06T13:55:14Z,2019-09-06T13:55:14Z,"Blockchain Technologies for Smart Energy Systems: Fundamentals,
  Challenges and Solutions","  In this paper, we discuss the integration of blockchain in smart energy
systems. We present various blockchain technology solutions, review important
blockchain platforms, and several blockchain based smart energy projects in
different smart energy domains. The majority of blockchain platforms with
embedded combination of blockchain technology solutions are computing- and
resource- intensive, and hence not entirely suitable for smart energy
applications. We consider the requirements of smart energy systems and
accordingly identify appropriate blockchain technology solutions for smart
energy applications. Our analysis can help in the development of flexible
blockchain platforms for smart energy systems.
","['Naveed UL Hassan', 'Chau Yuen', 'Dusit Niyato']"
http://arxiv.org/abs/2405.06930v1,Smart contracts,2024-05-11T06:26:07Z,2024-05-11T06:26:07Z,"Extended Reality for Smart Built Environments Design: Smart Lighting
  Design Testbed","  Smart Built Environment is an eco-system of `connected' and `smart' Internet
of Things (IoT) devices that are embedded in a built environment. Smart
lighting is an important category of smart IoT devices that has recently
attracted research interest, particularly for residential areas. In this paper,
we present an extended reality based smart lighting design testbed that can
generate design prototypes based on the functionality of the physical
environment. The emphasis is on designing a smart lighting system in a
controlled residential environment, with some evaluation of well-being and
comfort.
","['Elham Mohammadrezaei', 'Denis Gracanin']"
http://arxiv.org/abs/1610.06855v1,Smart contracts,2016-10-21T16:50:11Z,2016-10-21T16:50:11Z,Big Data: Perspektiven fuer Smart Grids und Smart Buildings,"  This paper gives a short survey of recent trends in the emerging field of big
data. It explains the definitions and useful methods. In addition, application
fields of smart buildings and smart grids are discussed.
",['Ralf Mikut']
