name,wikipedia_url
3D optical data storage,https://en.wikipedia.org/wiki/3D_optical_data_storage
3D printing,https://en.wikipedia.org/wiki/3D_printing
3M22 Zircon,https://en.wikipedia.org/wiki/3M22_Zircon
3rd Space Vest,https://en.wikipedia.org/wiki/3rd_Space_Vest
4D film,https://en.wikipedia.org/wiki/4D_film
4D printing,https://en.wikipedia.org/wiki/4D_printing
6G (network),https://en.wikipedia.org/wiki/6G_(network)
Accumulator (energy),https://en.wikipedia.org/wiki/Accumulator_(energy)
Active structure,https://en.wikipedia.org/wiki/Active_structure
Actuator,https://en.wikipedia.org/wiki/Actuator
Adaptive Compliant Wing,https://en.wikipedia.org/wiki/Adaptive_Compliant_Wing
Adaptive optics,https://en.wikipedia.org/wiki/Adaptive_optics#Adaptive_optics_in_retinal_imaging
Advanced Tactical Laser,https://en.wikipedia.org/wiki/Advanced_Tactical_Laser
AeroMobil,https://en.wikipedia.org/wiki/AeroMobil
AeroVironment,https://en.wikipedia.org/wiki/AeroVironment
AeroVironment Global Observer,https://en.wikipedia.org/wiki/AeroVironment_Global_Observer
AeroVironment Nano Hummingbird,https://en.wikipedia.org/wiki/AeroVironment_Nano_Hummingbird
Aerogel,https://en.wikipedia.org/wiki/Aerogel
Aerospace engineering,https://en.wikipedia.org/wiki/Aerospace_engineering
Agricultural drone,https://en.wikipedia.org/wiki/Agricultural_drone
Agricultural robot,https://en.wikipedia.org/wiki/Agricultural_robot
Agriculture,https://en.wikipedia.org/wiki/Agriculture
Air pollution,https://en.wikipedia.org/wiki/Air_pollution
Airborne wind turbine,https://en.wikipedia.org/wiki/Airborne_wind_turbine
Aircraft flight control system,https://en.wikipedia.org/wiki/Aircraft_flight_control_system
Airlander 10,https://en.wikipedia.org/wiki/Airlander_10
Airless tire,https://en.wikipedia.org/wiki/Airless_tire
Alcor Life Extension Foundation,https://en.wikipedia.org/wiki/Alcor_Life_Extension_Foundation
Americium,https://en.wikipedia.org/wiki/Americium#Radionuclide
Ammunition,https://en.wikipedia.org/wiki/Ammunition
Amorphous metal,https://en.wikipedia.org/wiki/Amorphous_metal
Amorphous metal transformer,https://en.wikipedia.org/wiki/Amorphous_metal_transformer
Analogue electronics,https://en.wikipedia.org/wiki/Analogue_electronics
Android (robot),https://en.wikipedia.org/wiki/Android_(robot)
Animal husbandry,https://en.wikipedia.org/wiki/Animal_husbandry
Animal testing,https://en.wikipedia.org/wiki/Animal_testing
Anthropogeny,https://en.wikipedia.org/wiki/Anthropogeny
Apple Pay,https://en.wikipedia.org/wiki/Apple_Pay
Applications of artificial intelligence,https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence
ArXiv (identifier),https://en.wikipedia.org/wiki/ArXiv_(identifier)
Arcology,https://en.wikipedia.org/wiki/Arcology
Armor,https://en.wikipedia.org/wiki/Armor
Armoured fighting vehicle,https://en.wikipedia.org/wiki/Armoured_fighting_vehicle
Artificial Passenger,https://en.wikipedia.org/wiki/Artificial_Passenger
Artificial brain,https://en.wikipedia.org/wiki/Artificial_brain
Artificial general intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence
Artificial gravity,https://en.wikipedia.org/wiki/Artificial_gravity
Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
Artificial pacemaker,https://en.wikipedia.org/wiki/Artificial_pacemaker
Artificial photosynthesis,https://en.wikipedia.org/wiki/Artificial_photosynthesis
Artificial uterus,https://en.wikipedia.org/wiki/Artificial_uterus
Asteroid mining,https://en.wikipedia.org/wiki/Asteroid_mining
Atlas (robot),https://en.wikipedia.org/wiki/Atlas_(robot)
Atmospheric satellite,https://en.wikipedia.org/wiki/Atmospheric_satellite
Atmospheric water generator,https://en.wikipedia.org/wiki/Atmospheric_water_generator
