start_up,headline,current_position,skills
dropbox,Senior Product Manager & Managing Director Dropbox Germany,Managing Director Dropbox Germany GmbH,"[{'name': 'People Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Kommunikation', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Experienced Speaker', 'endorsements': 15, 'passed_assessment': None}, {'name': 'Cloud Security', 'endorsements': 13, 'passed_assessment': None}, {'name': 'Employee Management', 'endorsements': 11, 'passed_assessment': None}, {'name': 'Sales Management', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Women Leaders', 'endorsements': 12, 'passed_assessment': None}, {'name': 'IT Security Best Practices', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Information Security Management', 'endorsements': 9, 'passed_assessment': None}, {'name': 'Public Speaking', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Management', 'endorsements': 16, 'passed_assessment': None}, {'name': 'Information Security', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Digital Innovation', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Business Networking', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Project Management', 'endorsements': 11, 'passed_assessment': None}, {'name': 'Communication Skills', 'endorsements': 3, 'passed_assessment': None}, {'name': 'IT Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Entrepreneurship', 'endorsements': 16, 'passed_assessment': None}, {'name': 'Start-ups', 'endorsements': 29, 'passed_assessment': None}, {'name': 'Angel Investing', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Lean Startup', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Business Strategy', 'endorsements': 13, 'passed_assessment': None}, {'name': 'Business Development', 'endorsements': 9, 'passed_assessment': None}, {'name': 'Strategic Partnerships', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Dogs', 'endorsements': 0, 'passed_assessment': None}, {'name': 'E-commerce', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Product Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategy', 'endorsements': 8, 'passed_assessment': None}]"
dropbox,"Software Engineering Manager at Dropbox
",Software Engineering Manager,"[{'name': 'C++', 'endorsements': 15, 'passed_assessment': None}, {'name': 'VLSI', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Algorithms', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Debugging', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Analog Circuit Design', 'endorsements': 3, 'passed_assessment': None}, {'name': 'SoC', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Analog Design', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Mixed Signal', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Analog Layout', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Product Development', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Reliability', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Program Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategic Planning', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Perl', 'endorsements': 7, 'passed_assessment': None}, {'name': 'C', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Physical Design', 'endorsements': 0, 'passed_assessment': None}, {'name': 'TCL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Constrained Optimization', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Mentoring', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Talent Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Coaching', 'endorsements': 0, 'passed_assessment': None}]"
dropbox,Staff Software Engineer in Test,Staff Software Engineer in Test,"[{'name': 'Hibernate', 'endorsements': 13, 'passed_assessment': None}, {'name': 'JUnit', 'endorsements': 12, 'passed_assessment': None}, {'name': 'JSP', 'endorsements': 18, 'passed_assessment': None}, {'name': 'Ant', 'endorsements': 17, 'passed_assessment': None}, {'name': 'JDBC', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Java', 'endorsements': 10, 'passed_assessment': None}, {'name': 'J2EE Application Development', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Struts', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Spring', 'endorsements': 19, 'passed_assessment': None}, {'name': 'XML', 'endorsements': 17, 'passed_assessment': None}, {'name': 'Web Services', 'endorsements': 14, 'passed_assessment': None}, {'name': 'Servlets', 'endorsements': 5, 'passed_assessment': None}, {'name': 'HTML', 'endorsements': 4, 'passed_assessment': None}, {'name': 'JavaScript', 'endorsements': 8, 'passed_assessment': None}, {'name': 'CSS', 'endorsements': 3, 'passed_assessment': None}, {'name': 'AJAX', 'endorsements': 4, 'passed_assessment': None}, {'name': 'jQuery', 'endorsements': 2, 'passed_assessment': None}, {'name': 'EJB', 'endorsements': 5, 'passed_assessment': None}, {'name': 'JNDI', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Eclipse', 'endorsements': 9, 'passed_assessment': None}, {'name': 'WSDL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'JAXB', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Log4j', 'endorsements': 0, 'passed_assessment': None}, {'name': 'ISO8583', 'endorsements': 0, 'passed_assessment': None}, {'name': 'EFTPOS', 'endorsements': 0, 'passed_assessment': None}, {'name': 'JPOS', 'endorsements': 0, 'passed_assessment': None}, {'name': 'OLTP', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Design Patterns', 'endorsements': 5, 'passed_assessment': None}, {'name': 'OOAD', 'endorsements': 0, 'passed_assessment': None}, {'name': 'XSL-FO', 'endorsements': 0, 'passed_assessment': None}, {'name': 'XSD', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Hudson', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sonar', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Crucible', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Confluence', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Agile Methodologies', 'endorsements': 5, 'passed_assessment': None}, {'name': 'SOAP', 'endorsements': 4, 'passed_assessment': None}, {'name': 'COBOL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SQL', 'endorsements': 15, 'passed_assessment': None}]"
dropbox,Recruiter at Dropbox,Recruiter,"[{'name': 'Onboarding', 'endorsements': 25, 'passed_assessment': None}, {'name': 'Applicant Tracking Systems', 'endorsements': 69, 'passed_assessment': None}, {'name': 'Healthcare', 'endorsements': 41, 'passed_assessment': None}, {'name': 'College Recruiting', 'endorsements': 48, 'passed_assessment': None}, {'name': 'Talent Acquisition', 'endorsements': 38, 'passed_assessment': None}]"
dropbox,Software Engineer,,
dropbox,Software Engineer,,
dropbox,Channel ops analyst at Dropbox,,
dropbox,Engineering Manager at Dropbox,,
dropbox,Driver at Dropbox,,
dropbox,Customer Success at Dropbox | Customer Experience & Retention,,
dropbox,Software Engineer bei Dropbox,,
dropbox,Software Engineer at Dropbox,,
dropbox,Senior Software Engineer,,
dropbox,Partnerships and Distribution - EMEA @ Dropbox,,
dropbox,Software Engineer at Dropbox,,
dropbox,Corporate Chef at Dropbox Inc,,
dropbox,Engineering Manager,,
dropbox,I can‘t fix stupid. So I fix what stupid does. 🤷‍♂️,,
dropbox,Head of Media & Entertainment DACH at Dropbox | Senior Account Management for Growth,,
dropbox,Senior Revenue Operations Product Manager at Dropbox,,
dropbox,Software Developer at Dropbox,,
dropbox,Account Manager DACH at Dropbox,,
dropbox,Head of Japan Marketing,,
dropbox,Security Engineer,,
dropbox,Software Engineer at Dropbox,,
dropbox,Frontend Software Engineer,,
dropbox,Senior Software Engineer at Dropbox,,
dropbox,Software Engineer,,
dropbox,Marketing & Creative Strategy | Partnerships | Business Development,,
dropbox,Senior Software Engineer at Dropbox,,
dropbox,Building generative AI productivity software,,
dropbox,at Dropbox,,
dropbox,Principal Engineer at Dropbox,,
dropbox,Associate Creative Director at Dropbox,,
dropbox,Manager - Software and Services Procurement,,
dropbox,Engineering Leadership at Dropbox,,
dropbox,Recruiting at Dropbox,,
dropbox,People Partner at Dropbox,,
dropbox,Head of Channel Distribution for Central Europe @ Dropbox,,
dropbox,Product Manager at Dropbox | UX Design background,,
dropbox,Dropbox,,
dropbox,💻 Senior Software Engineer at Dropbox,,
dropbox,Supply Chain Manager,,
dropbox,Strategic Sourcing at Dropbox,,
dropbox,"CTO, Dropbox | Advisor",,
dropbox,Head of International Field and Channel Marketing,,
dropbox,Chief People Officer at Dropbox,,
dropbox,Software Engineer,,
dropbox,Project Manager - Commercial Strategy and Operations @ Dropbox,,
dropbox,Senior Software Engineer,,
airbnb,Communications @ Airbnb,"Senior Communications Lead, DACH & CEE",
airbnb,Housekeeper at Airbnb,,
airbnb,Secretary at Airbnb,,
airbnb,Praktikant bei Airbnb,,
airbnb,Research Assistant at Airbnb,,
airbnb,"Media Production Lead - Tech & Innovation at Heise Medien GmbH & Co. KG | BA Political Science, University of Vienna",,
airbnb,Leiter bei Airbnb,,
airbnb,Marketing Manager at Airbnb,,
airbnb,Support & Consulting,,
airbnb,Assistant at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Supervisor at Airbnb,,
airbnb,"Accelerating the transition to renewable energy at work, at home & everywhere I go.",,
airbnb,Architecture at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Project Manager | Strategist | Marketing Expert,,
airbnb,"Assistant Manager | Architectural Design, AutoCAD",,
airbnb,Personal de limpieza en Airbnb,,
airbnb,Arbeitslos bei Airbnb,,
airbnb,Analyst at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Java Developer at Airbnb,,
airbnb,International Business Student and Airbnb Host,,
airbnb,Life is full of success,,
airbnb,Betreuer für Polnische Fachkräfte,,
airbnb,Customer Service Professionel eCommerce & Tourismus,,
airbnb,"Cogito, ergo sum",,
airbnb,Airbnb Luxe Home Consultant,,
airbnb,bei casa Ingenieure GmbH,,
airbnb,Vertriebsmitarbeiter bei Airbnb,,
airbnb,Arbeitslos bei Airbnb,,
airbnb,Softwareingenieur bei Airbnb,,
airbnb,Salesperson,,
airbnb,Airbnb şirketinde Ev Hanımı,,
airbnb,Account-Manager bei Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Analyst bei Airbnb,,
airbnb,Arbeitgeber bei Airbnb,,
airbnb,Leiter bei Airbnb,,
airbnb,Assistent bei Airbnb,,
airbnb,Unternehmensinhaber bei Airbnb,,
airbnb,Partner bei Airbnb,,
airbnb,Market Manager @ Airbnb,,
airbnb,Assistent der Geschäftsleitung bei Airbnb,,
airbnb,Associate في Airbnb,,
airbnb,Customer Support Specialist at Airbnb,,
airbnb,Commission Sales Associate at Airbnb,,
airbnb,Assistant Manager at Airbnb,,
airbnb,Ausbilder bei Airbnb,,
airbnb,Ausbildung at Airbnb,,
