paper_id,qid
2406.04641v1,Q229367
1405.0199v1,Q229367
2202.11426v2,Q229367
2401.11778v1,Q229367
2305.09394v1,Q229367
2103.02063v1,Q229367
2105.10943v1,Q229367
2403.16470v1,Q229367
1705.05893v1,Q229367
1406.4817v1,Q229367
1809.07940v1,Q229367
1806.00394v1,Q229367
2404.11776v1,Q229367
1605.03246v1,Q229367
2501.11995v1,Q229367
2401.08982v1,Q229367
1807.02921v1,Q229367
1605.09737v1,Q229367
2004.12471v2,Q229367
1605.04797v2,Q229367
2304.02924v1,Q11660
2005.10488v1,Q11660
1509.01213v1,Q11660
2101.02179v1,Q11660
1304.3846v1,Q11660
1304.3851v1,Q11660
1304.3859v1,Q11660
1311.0716v1,Q11660
1810.06018v1,Q11660
2104.13155v2,Q11660
2102.12076v1,Q11660
2404.03499v1,Q11660
2007.07710v1,Q11660
2111.11295v1,Q11660
1712.06440v1,Q11660
2108.04770v1,Q11660
2110.01831v1,Q11660
1205.2596v2,Q11660
1205.2597v2,Q11660
1206.3959v2,Q11660
1808.03413v1,Q254183
1903.02723v1,Q254183
2104.08579v2,Q254183
2101.02565v1,Q254183
1106.5571v1,Q254183
1807.00279v1,Q254183
2112.11190v1,Q254183
1106.5569v1,Q254183
1807.10659v1,Q254183
1912.12101v1,Q254183
1708.05006v1,Q254183
2201.07003v1,Q254183
1305.5534v1,Q254183
1508.02606v1,Q254183
1508.04238v1,Q254183
1806.09316v1,Q254183
2109.02386v1,Q254183
1807.01966v2,Q254183
1810.10206v1,Q254183
1808.06465v3,Q254183
2304.09965v1,Q20514253
1905.07014v1,Q20514253
1909.02914v1,Q20514253
2002.12837v1,Q20514253
1910.14614v1,Q20514253
2105.02118v1,Q20514253
1707.01766v1,Q20514253
2112.11072v2,Q20514253
1803.00892v1,Q20514253
2210.14888v1,Q20514253
1910.00742v1,Q20514253
2111.13683v1,Q20514253
2207.07453v1,Q20514253
2407.17761v1,Q20514253
2001.01174v1,Q20514253
2010.16034v1,Q20514253
1907.07099v1,Q20514253
1912.05241v1,Q20514253
2212.14671v1,Q20514253
2305.03895v1,Q20514253
2001.02306v1,Q2378309
1504.05383v1,Q2378309
0605046v3,Q2378309
2207.06257v1,Q2378309
2506.06405v1,Q2378309
2411.00885v1,Q2378309
1607.08656v1,Q2378309
2502.09659v1,Q2378309
