start_up,skill,skill_clean
dropbox,People Management,people management
dropbox,Kommunikation,kommunikation
dropbox,Experienced Speaker,experienced speaker
dropbox,Cloud Security,cloud security
dropbox,Employee Management,employee management
dropbox,Sales Management,sales management
dropbox,Women Leaders,women leaders
dropbox,IT Security Best Practices,it security best practices
dropbox,Information Security Management,information security management
dropbox,Public Speaking,public speaking
dropbox,Management,management
dropbox,Information Security,information security
dropbox,Digital Innovation,digital innovation
dropbox,Business Networking,business networking
dropbox,Project Management,project management
dropbox,Communication Skills,communication skills
dropbox,IT Management,it management
dropbox,Entrepreneurship,entrepreneurship
dropbox,Start-ups,start-ups
dropbox,Angel Investing,angel investing
dropbox,Lean Startup,lean startup
dropbox,Business Strategy,business strategy
dropbox,Business Development,business development
dropbox,Strategic Partnerships,strategic partnerships
dropbox,Dogs,dogs
dropbox,E-commerce,e-commerce
dropbox,Product Management,product management
dropbox,Strategy,strategy
dropbox,C++,c++
dropbox,VLSI,vlsi
dropbox,Algorithms,algorithms
dropbox,Debugging,debugging
dropbox,Analog Circuit Design,analog circuit design
dropbox,SoC,soc
dropbox,Analog Design,analog design
dropbox,Mixed Signal,mixed signal
dropbox,Analog Layout,analog layout
dropbox,Product Development,product development
dropbox,Reliability,reliability
dropbox,Program Management,program management
dropbox,Strategic Planning,strategic planning
dropbox,Perl,perl
dropbox,C,c
dropbox,Physical Design,physical design
dropbox,TCL,tcl
dropbox,Constrained Optimization,constrained optimization
dropbox,Mentoring,mentoring
dropbox,Talent Management,talent management
dropbox,Coaching,coaching
dropbox,Hibernate,hibernate
dropbox,JUnit,junit
dropbox,JSP,jsp
dropbox,Ant,ant
dropbox,JDBC,jdbc
dropbox,Java,java
dropbox,J2EE Application Development,j2ee application development
dropbox,Struts,struts
dropbox,Spring,spring
dropbox,XML,xml
dropbox,Web Services,web services
dropbox,Servlets,servlets
dropbox,HTML,html
dropbox,JavaScript,javascript
dropbox,CSS,css
dropbox,AJAX,ajax
dropbox,jQuery,jquery
dropbox,EJB,ejb
dropbox,JNDI,jndi
dropbox,Eclipse,eclipse
dropbox,WSDL,wsdl
dropbox,JAXB,jaxb
dropbox,Log4j,log4j
dropbox,ISO8583,iso8583
dropbox,EFTPOS,eftpos
dropbox,JPOS,jpos
dropbox,OLTP,oltp
dropbox,Design Patterns,design patterns
dropbox,OOAD,ooad
dropbox,XSL-FO,xsl-fo
dropbox,XSD,xsd
